"Id,R,Nome,Squadra,QuotaIniziale"
"5295,C,Musah,Atalanta,6"
"5131,C,Gilmour,Napoli,7"
"6898,C,Keita M.,Parma,6"
"4423,C,Hernani,Parma,7"
"7145,C,Piccinini G.,Pisa,6"
"7149,C,Marin M.,Pisa,6"
"6190,C,Pisilli,Roma,7"
"6219,C,Boloca,Sassuolo,6"
"6815,C,Fadera,Sassuolo,6"
"5735,C,Volpato,Sassuolo,5"
"6458,C,Serdar,Verona,5"
"7198,C,Piotrowski,Udinese,6"
"7209,C,Sorensen O.,Parma,6"
"6274,C,Diouf,Inter,7"
"4404,C,Thorsby,Genoa,5"
"4711,C,Kostic,Juventus,4"
"6191,C,Belahyane,Lazio,4"
"333,C,Cataldi,Lazio,5"
"5998,C,Zerbin,Cremonese,3"
"7138,C,Ordonez C.,Parma,5"
"6717,C,Konè I.,Sassuolo,6"
"4890,C,Tameze,Torino,5"
"1976,C,Mazzitelli,Cagliari,5"
"7276,C,Cremaschi,Parma,5"
"6024,C,Sulemana I.,Bologna,4"
"5784,C,Aebischer,Pisa,4"
"6424,C,Prati,Cagliari,3"
"4284,C,Sergi Roberto,Como,4"
"27,C,Grassi,Cremonese,4"
"6804,C,Richardson,Fiorentina,4"
"5719,C,Asllani,Torino,4"
"152,C,Zielinski,Inter,4"
"5813,C,Miretti,Juventus,5"
"5992,C,Bondo,Cremonese,3"
"6246,C,Lipani,Sassuolo,4"
"6170,C,Gineitis,Torino,5"
"6481,C,Payero,Cremonese,4"
"7028,C,Bernede,Verona,4"
"2117,C,Kastanos,Verona,4"
"5610,C,Vranckx,Sassuolo,4"
"2528,C,Matic,Sassuolo,4"
"7010,C,Al-Musrati,Verona,4"
"6528,C,Sarmiento J.,Cremonese,4"
"6054,C,Moro N.,Bologna,3"
"6980,C,Venturino,Genoa,3"
"6015,C,Berisha M.,Lecce,3"
"6222,C,Rafia,Lecce,3"
"7150,C,Vural,Pisa,3"
"6593,C,Akinsanmiro,Pisa,3"
"6212,C,Zarraga,Udinese,2"
"5540,C,Niasse,Verona,3"
"7208,C,Miller L.,Udinese,3"
"7246,C,Sala A.,Lecce,3"
"6294,C,Ndour,Fiorentina,2"
"5788,C,Sabiri,Fiorentina,2"
"6410,C,Kaba,Lecce,1"
"5290,C,Estevez,Parma,2"
"2334,C,Leris,Pisa,2"
"7177,C,Santiago,Verona,2"
"6538,C,Onana J.,Genoa,2"
"7165,C,Liteta,Cagliari,1"
"5674,C,Basic,Lazio,1"
"6645,C,Marchwinski,Lecce,1"
"7147,C,Hojholt,Pisa,1"
"7157,C,Iannoni,Sassuolo,1"
"2076,C,Rog,Cagliari,1"
"6677,C,Adzic,Juventus,1"
"6005,C,Ilkhan,Torino,1"
"7223,C,Vergara,Napoli,1"
"2764,A,Martinez L.,Inter,34"
"2097,A,Kean,Fiorentina,33"
"4871,A,Thuram,Inter,29"
"2531,A,Lukaku,Napoli,31"
"4730,A,Lookman,Atalanta,29"
"5544,A,David,Juventus,27"
"2841,A,Vlahovic,Juventus,24"
"309,A,Dybala,Roma,26"
"6434,A,Yildiz,Juventus,24"
"7008,A,Gimenez,Milan,25"
"6052,A,Hojlund,Napoli,24"
"4510,A,Leao,Milan,24"
"6226,A,Castellanos,Lazio,21"
"6314,A,Openda,Juventus,22"
"5995,A,De Ketelaere,Atalanta,22"
"5672,A,Dia,Lazio,20"
"531,A,Berardi,Sassuolo,21"
"2137,A,Scamacca,Atalanta,19"
"6572,A,Castro S.,Bologna,19"
"6435,A,Krstovic,Atalanta,20"
"5734,A,Soulè,Roma,20"
"6675,A,Dovbyk,Roma,21"
"4728,A,Nkunku,Milan,20"
"785,A,Immobile,Bologna,19"
"6365,A,Ferguson E.,Roma,19"
"608,A,Zapata D.,Torino,20"
"7120,A,Lang,Napoli,19"
"313,A,Morata,Como,18"
"4359,A,Piccoli,Fiorentina,17"
"6967,A,Diao,Como,17"
"2038,A,Pinamonti,Sassuolo,16"
"6552,A,Orban G.,Verona,15"
"2499,A,Vardy,Cremonese,15"
"647,A,Dzeko,Fiorentina,15"
"6215,A,Lucca,Napoli,15"
"6060,A,Laurientè,Sassuolo,15"
"7128,A,Kuhn,Como,14"
"2489,A,Pedro,Lazio,13"
"7023,A,Pellegrino M.,Parma,13"
"6646,A,Adams C.,Torino,14"
"5637,A,Davis K.,Udinese,12"
"7252,A,Stulic,Lecce,13"
"5297,A,Luvumbo,Cagliari,12"
"5336,A,Nzola,Pisa,12"
"441,A,Belotti,Cagliari,12"
"4436,A,Cambiaghi,Bologna,11"
"2155,A,Cutrone,Parma,10"
"4923,A,Colombo,Genoa,12"
"6164,A,Vitinha O.,Genoa,12"
"6519,A,Camarda,Lecce,12"
"6643,A,Dallinga,Bologna,10"
"7017,A,Douvikas,Como,8"
"5512,A,De Luca,Cremonese,8"
"7249,A,Buksa,Udinese,9"
"5918,A,Sulemana K.,Atalanta,9"
"6895,A,Dominguez B.,Bologna,9"
"2061,A,Simeone,Torino,8"
"5471,A,Djuric,Parma,9"
"6145,A,Ngonge,Torino,9"
"479,A,Sanabria,Cremonese,7"
"7183,A,Aboukhlal,Torino,9"
"4463,A,Esposito Se.,Cagliari,7"
